;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
0;0001599916-23-000009;2023-01-09;2022-09-30;2023-01-09T15:36:33.000Z;34;10-K;000-55377;23517974;;2887123;1;1;exceed_10k22o.htm;10-K
1;0001599916-22-000339;2022-12-29;2022-09-30;2022-12-29T09:01:35.000Z;34;NT 10-K;000-55377;221496433;;22746;0;0;nt10k122922.htm;NT 10-K
2;0001599916-22-000232;2022-08-22;2022-06-30;2022-08-22T09:53:28.000Z;34;10-Q;000-55377;221182471;;2347582;1;1;exceed_10q322o.htm;10-Q
3;0001599916-22-000219;2022-08-15;2022-06-30;2022-08-15T08:33:30.000Z;34;NT 10-Q;000-55377;221162570;;22724;0;0;nt10q81522.htm;NT 10-Q
4;0001599916-22-000128;2022-05-20;2022-03-31;2022-05-20T13:59:50.000Z;34;10-Q;000-55377;22946898;;2247862;1;1;exceed_10q2outf.htm;10-Q
5;0001599916-22-000121;2022-05-16;2022-03-31;2022-05-16T08:32:43.000Z;34;NT 10-Q;000-55377;22925729;;22722;0;0;nt10q51222.htm;NT 10-Q
6;0001599916-22-000050;2022-02-22;2021-12-31;2022-02-22T13:19:40.000Z;34;10-Q;000-55377;22657080;;2154496;1;1;exceed_10q122f.htm;10-Q
7;0001599916-22-000042;2022-02-11;2021-12-31;2022-02-11T08:14:02.000Z;34;NT 10-Q;000-55377;22616854;;22731;0;0;nt10q122.htm;NT 10-Q
8;0001599916-22-000018;2022-01-13;2021-09-30;2022-01-13T14:31:15.000Z;34;10-K;000-55377;22528772;;2871306;1;1;exdw_10k21f.htm;10-K
9;0001599916-21-000309;2021-12-29;2021-09-30;2021-12-29T12:38:54.000Z;34;NT 10-K;000-55377;211527641;;21139;0;0;exdw_nt10k.htm;NT 10-K
10;0001599916-21-000188;2021-08-19;2021-06-30;2021-08-19T12:27:03.000Z;34;10-Q;000-55377;211189410;;2414649;1;1;exceed_10q321out.htm;10-Q
11;0001599916-21-000157;2021-08-13;2021-06-30;2021-08-13T07:34:30.000Z;34;NT 10-Q;000-55377;211169747;;22722;0;0;nt10q630.htm;NT 10-Q
12;0001599916-21-000093;2021-05-19;2021-03-31;2021-05-19T08:43:11.000Z;34;10-Q;000-55377;21938479;;1785066;1;0;exceed_10q221.htm;10-Q
13;0001599916-21-000087;2021-05-17;2021-03-31;2021-05-17T08:51:13.000Z;34;NT 10-Q;000-55377;21927859;;22722;0;0;nt10q51721.htm;NT 10-Q
14;0001599916-21-000024;2021-02-22;2020-12-31;2021-02-22T15:06:53.000Z;34;10-Q;000-55377;21659835;;1693873;1;0;exceed_10q121.htm;10-Q
