;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
0;0001062993-22-024027;2022-12-16;2022-12-15;2022-12-16T18:04:45.000Z;;4;;;;4282;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
1;0001062993-22-024026;2022-12-16;2022-12-09;2022-12-16T18:04:25.000Z;;4;;;;5830;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
2;0001193125-22-306591;2022-12-16;2022-12-13;2022-12-16T09:01:06.000Z;34;8-K;001-37845;221466619;5.07;243272;1;1;d434535d8k.htm;8-K
3;0001062993-22-023843;2022-12-13;2022-12-12;2022-12-13T19:47:05.000Z;;4/A;;;;5844;0;0;xslF345X03/form4a.xml;AMENDED STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
4;0001062993-22-023832;2022-12-13;2022-12-12;2022-12-13T18:13:49.000Z;;4;;;;6849;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
5;0001062993-22-023830;2022-12-13;2022-12-12;2022-12-13T18:13:15.000Z;;4;;;;5758;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
6;0001062993-22-023828;2022-12-13;2022-12-12;2022-12-13T18:12:08.000Z;;4;;;;8195;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
7;0001062993-22-023826;2022-12-13;2022-12-12;2022-12-13T18:10:36.000Z;;4;;;;5071;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
8;0001062993-22-023824;2022-12-13;2022-12-12;2022-12-13T18:09:57.000Z;;4;;;;5064;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
9;0001062993-22-023822;2022-12-13;2022-12-12;2022-12-13T18:09:04.000Z;;4;;;;5853;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
10;0001062993-22-023819;2022-12-13;2022-12-12;2022-12-13T18:08:23.000Z;;4;;;;6034;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
11;0001062993-22-023815;2022-12-13;2022-12-12;2022-12-13T18:07:22.000Z;;4;;;;5866;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
12;0001062993-22-023813;2022-12-13;2022-12-12;2022-12-13T18:06:13.000Z;;4;;;;6908;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
13;0001062993-22-023810;2022-12-13;2022-12-12;2022-12-13T18:05:06.000Z;;4;;;;5379;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
14;0001062993-22-023807;2022-12-13;2022-12-12;2022-12-13T18:04:14.000Z;;4;;;;6026;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
15;0001062993-22-023653;2022-12-09;2022-12-08;2022-12-09T18:08:49.000Z;;4;;;;6175;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
16;0001062993-22-023651;2022-12-09;2022-12-08;2022-12-09T18:08:09.000Z;;4;;;;9281;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
17;0001062993-22-023649;2022-12-09;2022-12-08;2022-12-09T18:07:23.000Z;;4;;;;6109;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
18;0001062993-22-023647;2022-12-09;2022-12-08;2022-12-09T18:06:44.000Z;;4;;;;6294;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
19;0001062993-22-023645;2022-12-09;2022-12-08;2022-12-09T18:05:54.000Z;;4;;;;6126;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
20;0001062993-22-023643;2022-12-09;2022-12-08;2022-12-09T18:04:27.000Z;;4;;;;6982;0;0;xslF345X03/form4.xml;STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
