;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
0;0000004127-22-000039;2022-12-16;2022-12-15;2022-12-16T16:43:47.000Z;34;8-K;001-05560;221468512;5.02;178061;1;1;swks-20221215.htm;8-K
1;0001209191-22-061511;2022-12-15;2022-12-13;2022-12-15T18:30:12.000Z;;4;;;;5779;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
2;0000004127-22-000038;2022-11-23;2022-09-30;2022-11-22T20:03:09.000Z;34;10-K;001-05560;221411997;;10091555;1;1;swks-20220930.htm;10-K
3;0001209191-22-056867;2022-11-14;2022-11-10;2022-11-14T19:40:36.000Z;;4;;;;18747;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
4;0001209191-22-056866;2022-11-14;2022-11-10;2022-11-14T19:40:34.000Z;;4;;;;17802;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
5;0001209191-22-056865;2022-11-14;2022-11-10;2022-11-14T19:40:33.000Z;;4;;;;18761;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
6;0001209191-22-056864;2022-11-14;2022-11-10;2022-11-14T19:40:31.000Z;;4;;;;18746;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
7;0001209191-22-056863;2022-11-14;2022-11-10;2022-11-14T19:40:24.000Z;;4;;;;19437;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
8;0001209191-22-056862;2022-11-14;2022-11-10;2022-11-14T19:40:18.000Z;;4;;;;17794;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
9;0001209191-22-056290;2022-11-09;2022-11-07;2022-11-09T20:02:59.000Z;;4;;;;21299;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
10;0001209191-22-056289;2022-11-09;2022-11-07;2022-11-09T20:00:37.000Z;;4;;;;21106;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
11;0001209191-22-056288;2022-11-09;2022-11-07;2022-11-09T20:00:32.000Z;;4;;;;20355;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
12;0001209191-22-056287;2022-11-09;2022-11-07;2022-11-09T20:00:27.000Z;;4;;;;22202;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
13;0001209191-22-056286;2022-11-09;2022-11-07;2022-11-09T20:00:20.000Z;;4;;;;21300;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
14;0001209191-22-056285;2022-11-09;2022-11-07;2022-11-09T20:00:18.000Z;;4;;;;20139;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
15;0001209191-22-056163;2022-11-08;2022-09-30;2022-11-08T19:46:02.000Z;;5;;;;4883;0;0;xslF345X03/doc5.xml;FORM 5 SUBMISSION
16;0000004127-22-000035;2022-11-03;2022-11-03;2022-11-03T16:04:38.000Z;34;8-K;001-05560;221357871;2.02,8.01,9.01;561758;1;1;swks-20221103.htm;8-K
17;0001209191-22-048047;2022-08-30;2022-08-29;2022-08-30T18:30:13.000Z;;4;;;;7107;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
18;0001209191-22-045301;2022-08-10;2022-08-08;2022-08-10T18:30:16.000Z;;4;;;;6846;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
19;0000004127-22-000034;2022-08-05;2022-07-01;2022-08-04T21:32:00.000Z;34;10-Q;001-05560;221138381;;5833412;1;1;swks-20220701.htm;10-Q
20;0000004127-22-000031;2022-08-04;2022-08-04;2022-08-04T16:07:33.000Z;34;8-K;001-05560;221136542;2.02,8.01,9.01;554273;1;1;swks-20220804.htm;8-K
21;0001209191-22-039956;2022-06-30;2022-06-30;2022-06-30T18:30:10.000Z;;4;;;;7990;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
22;0000004127-22-000024;2022-05-27;;2022-05-27T16:07:51.000Z;34;SD;001-05560;22977418;;342679;0;0;cy21formsdcmr.htm;SD
23;0000004127-22-000022;2022-05-16;2022-05-11;2022-05-16T09:32:14.000Z;34;8-K/A;001-05560;22926035;5.07;214488;1;1;swks-20220511.htm;8-K/A
24;0001209191-22-029002;2022-05-13;2022-05-11;2022-05-13T19:18:38.000Z;;4;;;;9771;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
25;0001209191-22-028994;2022-05-13;2022-05-11;2022-05-13T19:12:32.000Z;;4;;;;10915;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
26;0001209191-22-028988;2022-05-13;2022-05-11;2022-05-13T19:09:48.000Z;;4;;;;5541;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
27;0001209191-22-028980;2022-05-13;2022-05-11;2022-05-13T19:05:56.000Z;;4;;;;9447;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
