;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
0;0001771364-23-000002;2023-01-06;2023-01-04;2023-01-06T21:33:29.000Z;;4;;;;5111;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
1;0001771364-23-000001;2023-01-03;2022-12-28;2023-01-03T21:04:57.000Z;;4/A;;;;7290;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
2;0001564590-23-000002;2023-01-03;2023-01-02;2023-01-03T06:08:47.000Z;34;8-K;001-34756;23500071;2.02,8.01,9.01;198220;1;1;tsla-8k_20230102.htm;8-K
3;0001771364-22-000011;2022-12-30;2022-12-28;2022-12-30T18:15:43.000Z;;4;;;;6766;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
4;0001790565-22-000017;2022-12-29;2022-12-27;2022-12-29T19:50:45.000Z;;4;;;;8580;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
5;0000899243-22-038522;2022-12-14;2022-12-12;2022-12-14T20:59:36.000Z;;4;;;;67463;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
6;0001771340-22-000012;2022-12-07;2022-12-05;2022-12-07T20:16:21.000Z;;4;;;;16593;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
7;0001771364-22-000010;2022-12-07;2022-12-05;2022-12-07T20:01:51.000Z;;4;;;;17873;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
8;0001790565-22-000016;2022-12-07;2022-12-05;2022-12-07T19:59:02.000Z;;4;;;;8655;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
9;0001790565-22-000015;2022-11-30;2022-11-28;2022-11-30T16:42:36.000Z;;4;;;;8579;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
10;0000899243-22-035394;2022-11-08;2022-11-08;2022-11-08T20:18:10.000Z;;4;;;;23094;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
11;0000899243-22-035393;2022-11-08;2022-11-07;2022-11-08T20:16:30.000Z;;4;;;;29754;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
12;0000899243-22-035390;2022-11-08;2022-11-04;2022-11-08T20:13:27.000Z;;4;;;;40841;0;0;xslF345X03/doc4.xml;FORM 4 SUBMISSION
13;0001771364-22-000009;2022-11-08;2022-11-04;2022-11-08T18:43:34.000Z;;4;;;;5111;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
14;0001790565-22-000014;2022-10-31;2022-10-27;2022-10-31T19:06:06.000Z;;4;;;;8579;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
15;0000950170-22-019867;2022-10-24;2022-09-30;2022-10-24T06:08:50.000Z;34;10-Q;001-34756;221324774;;20844339;1;1;tsla-20220930.htm;10-Q
16;0001564590-22-034639;2022-10-19;2022-10-19;2022-10-19T17:15:46.000Z;34;8-K;001-34756;221319235;2.02,9.01;16088730;1;1;tsla-8k_20221019.htm;8-K
17;0001771340-22-000011;2022-10-05;2022-09-25;2022-10-05T20:15:08.000Z;;3;;;;5489;0;0;xslF345X02/edgardoc.xml;PRIMARY DOCUMENT
18;0001771364-22-000008;2022-10-05;2022-10-04;2022-10-05T19:35:27.000Z;;4;;;;4580;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
19;0001564590-22-033053;2022-10-03;2022-10-02;2022-10-03T06:05:40.000Z;34;8-K;001-34756;221285807;2.02,7.01,9.01;184269;1;1;tsla-8k_20221002.htm;8-K
20;0001790565-22-000013;2022-09-30;2022-09-27;2022-09-30T19:03:18.000Z;;4;;;;8560;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
21;0001564590-22-032575;2022-09-28;2022-09-25;2022-09-28T16:15:27.000Z;34;8-K;001-34756;221276281;5.02,9.01;170721;1;1;tsla-8k_20220925.htm;8-K
22;0001771364-22-000007;2022-09-14;2022-09-12;2022-09-14T19:47:27.000Z;;4;;;;4581;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
23;0001771340-22-000010;2022-09-12;2022-09-08;2022-09-12T21:44:02.000Z;;4;;;;8642;0;0;xslF345X03/primary_doc.xml;PRIMARY DOCUMENT
