;2021-12-31;2020-12-31;2019-12-31
Total Revenue;276692000000.0;178574000000.0;255583000000.0
Operating Revenue;276692000000.0;178574000000.0;255583000000.0
Cost Of Revenue;211806000000.0;170447000000.0;199625000000.0
Gross Profit;64886000000.0;8127000000.0;55958000000.0
Operating Expense;40867000000.0;37575000000.0;43192000000.0
Selling General And Administration;9574000000.0;10168000000.0;11398000000.0
Other Taxes;30239000000.0;26122000000.0;30525000000.0
Other Operating Expenses;1054000000.0;1285000000.0;1269000000.0
Operating Income;24019000000.0;-29448000000.0;12766000000.0
Net Non Operating Interest Income Expense;-947000000.0;-1158000000.0;-830000000.0
Interest Expense Non Operating;947000000.0;1158000000.0;830000000.0
Other Income Expense;8162000000.0;1723000000.0;8120000000.0
Earnings From Equity Interest;6657000000.0;1732000000.0;5441000000.0
Other Non Operating Income Expenses;1505000000.0;-9000000.0;2679000000.0
Pretax Income;31234000000.0;-28883000000.0;20056000000.0
Tax Provision;7636000000.0;-5632000000.0;5282000000.0
Net Income Common Stockholders;23040000000.0;-22440000000.0;14340000000.0
Net Income;23040000000.0;-22440000000.0;14340000000.0
Net Income Including Noncontrolling Interests;23598000000.0;-23251000000.0;14774000000.0
Net Income Continuous Operations;23598000000.0;-23251000000.0;14774000000.0
Minority Interests;-558000000.0;811000000.0;-434000000.0
Diluted NI Availto Com Stockholders;23040000000.0;-22440000000.0;14340000000.0
Basic EPS;5.39;-5.25;3.36
Diluted EPS;5.39;-5.25;3.36
Basic Average Shares;4274582560.0;4274285714.0;4267857143.0
Diluted Average Shares;4275000000.0;4274285714.0;4270000000.0
Total Expenses;252673000000.0;208022000000.0;242817000000.0
Interest Expense;947000000.0;1158000000.0;830000000.0
Net Interest Income;-947000000.0;-1158000000.0;-830000000.0
Net Income From Continuing And Discontinued Operation;23040000000.0;-22440000000.0;14340000000.0
Normalized Income;23040000000.0;-22440000000.0;14340000000.0
EBIT;32181000000.0;-27725000000.0;20886000000.0
Reconciled Cost Of Revenue;211806000000.0;170447000000.0;199625000000.0
Reconciled Depreciation;20607000000.0;46009000000.0;18998000000.0
Net Income From Continuing Operation Net Minority Interest;23040000000.0;-22440000000.0;14340000000.0
Normalized EBITDA;52788000000.0;18284000000.0;39884000000.0
Tax Rate For Calcs;0.31;0.17;0.34
Tax Effect Of Unusual Items;0.0;0.0;0.0
