;2021-12-31;2020-12-31;2019-12-31
Total Revenue;1587415000000.0;1339238500000.0;1069988800000.0
Operating Revenue;1587415000000.0;1339238500000.0;1069988800000.0
Cost Of Revenue;767877700000.0;628108400000.0;577286900000.0
Gross Profit;819537300000.0;711130100000.0;492701900000.0
Operating Expense;169556400000.0;144346400000.0;119352200000.0
Selling General And Administration;44488200000.0;35570400000.0;28085800000.0
General And Administrative Expense;36929600000.0;28457600000.0;21737200000.0
Other Gand A;36929600000.0;28457600000.0;21737200000.0
Selling And Marketing Expense;7558600000.0;7112800000.0;6348600000.0
Research And Development;124734800000.0;109486000000.0;91418700000.0
Other Operating Expenses;333400000.0;-710000000.0;-152300000.0
Operating Income;649980900000.0;566783700000.0;373349700000.0
Net Non Operating Interest Income Expense;294600000.0;6936900000.0;12938500000.0
Interest Income Non Operating;5708800000.0;9018400000.0;16189400000.0
Interest Expense Non Operating;5414200000.0;2081500000.0;3250900000.0
Total Other Finance Cost;-294000000.0;;-12939000000.0
Other Income Expense;12760500000.0;11025700000.0;3573900000.0
Gain On Sale Of Security;5782300000.0;6380600000.0;702700000.0
Earnings From Equity Interest;5512700000.0;3562000000.0;2861000000.0
Special Income Charges;2700000.0;-3700000.0;-654900000.0
Impairment Of Capital Assets;;;-301400000.0
Write Off;-2700000.0;3700000.0;1700000.0
Gain On Sale Of Business;0.0;0.0;-4600000.0
Gain On Sale Of Ppe;;;-950000000.0
Other Non Operating Income Expenses;1462800000.0;1086800000.0;665100000.0
Pretax Income;663036000000.0;584746300000.0;389862100000.0
Tax Provision;70155400000.0;73738300000.0;35835100000.0
Net Income Common Stockholders;592359200000.0;510744000000.0;353948000000.0
Net Income;592359200000.0;510744000000.0;353948000000.0
Net Income Including Noncontrolling Interests;592880600000.0;511008000000.0;354027000000.0
Net Income Continuous Operations;592880600000.0;511008000000.0;354027000000.0
Minority Interests;-521400000.0;-264000000.0;-79000000.0
Diluted NI Availto Com Stockholders;592359200000.0;510744000000.0;353948000000.0
Basic EPS;115.05;99.85;66.6
Diluted EPS;115.05;99.85;66.6
Basic Average Shares;5186076000.0;5186076000.0;5186076000.0
Diluted Average Shares;5186076000.0;5186076000.0;5186076000.0
Total Operating Income As Reported;649980900000.0;566783700000.0;372701100000.0
Total Expenses;937434100000.0;772454800000.0;696639100000.0
Net Income From Continuing And Discontinued Operation;592359200000.0;510744000000.0;353948000000.0
Normalized Income;587186307018.3218;505171246627.8111;353904593650.4215
Interest Income;5708800000.0;9018400000.0;16189400000.0
Interest Expense;5414200000.0;2081500000.0;3250900000.0
Net Interest Income;294600000.0;6936900000.0;12938500000.0
EBIT;668450200000.0;586827800000.0;393113000000.0
Reconciled Cost Of Revenue;767877700000.0;628108400000.0;577286900000.0
Reconciled Depreciation;422394900000.0;331724600000.0;286884200000.0
Net Income From Continuing Operation Net Minority Interest;592359200000.0;510744000000.0;353948000000.0
Total Unusual Items Excluding Goodwill;5785000000.0;6376900000.0;47800000.0
Total Unusual Items;5785000000.0;6376900000.0;47800000.0
Normalized EBITDA;1085060100000.0;912175500000.0;679949400000.0
Tax Rate For Calcs;0.105809;0.126103;0.091917
Tax Effect Of Unusual Items;612107018.32178;804146627.81107;4393650.421521
