;2021-12-31;2020-12-31;2019-12-31
Total Revenue;285273000000.0;255639000000.0;240269000000.0
Operating Revenue;285273000000.0;255639000000.0;240269000000.0
Cost Of Revenue;217945000000.0;190141000000.0;184557000000.0
Gross Profit;67328000000.0;65498000000.0;55712000000.0
Operating Expense;45682000000.0;44595000000.0;37913000000.0
Depreciation Amortization Depletion Income Statement;3103000000.0;2891000000.0;2720000000.0
Depreciation And Amortization In Income Statement;3103000000.0;2891000000.0;2720000000.0
Other Operating Expenses;42579000000.0;41704000000.0;35193000000.0
Operating Income;21646000000.0;20903000000.0;17799000000.0
Net Non Operating Interest Income Expense;-1660000000.0;-1663000000.0;-1704000000.0
Interest Expense Non Operating;1660000000.0;1663000000.0;1704000000.0
Other Income Expense;2324000000.0;1502000000.0;1886000000.0
Gain On Sale Of Security;2324000000.0;1502000000.0;1886000000.0
Pretax Income;22310000000.0;20742000000.0;17981000000.0
Tax Provision;4578000000.0;4973000000.0;3742000000.0
Net Income Common Stockholders;17285000000.0;15403000000.0;13839000000.0
Net Income;17285000000.0;15403000000.0;13839000000.0
Net Income Including Noncontrolling Interests;17732000000.0;15769000000.0;14239000000.0
Net Income Continuous Operations;17732000000.0;15769000000.0;14239000000.0
Minority Interests;-447000000.0;-366000000.0;-400000000.0
Diluted NI Availto Com Stockholders;17285000000.0;15403000000.0;13839000000.0
Basic EPS;18.368757;16.282241;14.598101
Diluted EPS;18.08;16.03;14.33
Basic Average Shares;941000000.0;946000000.0;948000000.0
Diluted Average Shares;956000000.0;961000000.0;966000000.0
Total Operating Income As Reported;23970000000.0;22405000000.0;19685000000.0
Total Expenses;263627000000.0;234736000000.0;222470000000.0
Net Income From Continuing And Discontinued Operation;17285000000.0;15403000000.0;13839000000.0
Normalized Income;15437420000.0;14259978000.0;12345288000.0
Interest Expense;1660000000.0;1663000000.0;1704000000.0
Net Interest Income;-1660000000.0;-1663000000.0;-1704000000.0
EBIT;23970000000.0;22405000000.0;19685000000.0
Reconciled Cost Of Revenue;217945000000.0;190141000000.0;184557000000.0
Reconciled Depreciation;3103000000.0;2891000000.0;2720000000.0
Net Income From Continuing Operation Net Minority Interest;17285000000.0;15403000000.0;13839000000.0
Total Unusual Items Excluding Goodwill;2324000000.0;1502000000.0;1886000000.0
Total Unusual Items;2324000000.0;1502000000.0;1886000000.0
Normalized EBITDA;24749000000.0;23794000000.0;20519000000.0
Tax Rate For Calcs;0.205;0.239;0.208
Tax Effect Of Unusual Items;476420000.0;358978000.0;392288000.0
